,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
44,BIIB,2019,0000875045,2019-12-31,0.9505346821344631,0.15746136473909322,,4
45,BK,2019,0001390777,2019-12-31,0.9323123232397865,0.0845719291603868,,5
46,BLK,2019,0001364742,2019-12-31,0.954837256511517,0.17467166224730857,,4
47,BLL,2019,0000009389,2019-12-31,0.9516514265723863,0.16192834249078603,,5
48,BMY,2019,0000014272,2019-12-31,0.9490526370837461,0.1515331845362251,,4
49,BRKB,2019,0001067983,2019-12-31,0.9516057768485385,0.16174574359539484,,4
50,BSX,2019,0000885725,2019-12-31,0.9490482392357531,0.1515155931442531,,4
51,BWA,2019,0000908255,2019-12-31,0.9579609163615219,0.1871663016473284,,4
52,BXP,2019,0001037540,2019-12-31,0.9396415868966873,0.11388898378798995,,4
53,C,2019,0000831001,2019-12-31,0.9193911739824998,0.032887332131239955,,2
54,CAT,2019,0000018230,2019-12-31,0.9517567638423979,0.16234969157083246,,4
55,CB,2019,0000896159,2019-12-31,0.9408536261606784,0.11873714084395415,,4
56,CBG,2019,0001138118,2019-12-31,0.9577791517579894,0.1864392432331985,,4
57,CBS,2019,0000813828,2019-12-31,0.9554425324362879,0.17709276594639212,,4
58,CCI,2019,0001051470,2019-12-31,0.937642288963938,0.10589179205699262,,4
59,CCL,2019,0000815097,2019-11-30,0.9497203957645803,0.15420421925956207,,4
60,CERN,2019,0000804753,2019-12-28,0.9525351367136797,0.16546318305595964,,4
61,CF,2019,0001324404,2019-12-31,0.9404355748197707,0.11706493548032348,,4
62,CFG,2019,0000759944,2019-12-31,0.9499739908039135,0.15521859941689486,,4
63,CHD,2019,0000313927,2019-12-31,0.953723648124022,0.1702172286973287,,4
64,CHK,2019,0000895126,2019-12-31,0.932694256888452,0.08609966375504863,,5
65,CHRW,2019,0001043277,2019-12-31,0.9508758863859705,0.15882618174512286,,4
66,CHTR,2019,0001091667,2019-12-31,0.9490357052017536,0.1514654570082552,,4
67,CINF,2019,0000020286,2019-12-31,0.9514467838850281,0.1611097717413532,,4
68,CL,2019,0000021665,2019-12-31,0.958133615105276,0.1878570966223445,,4
69,CMA,2019,0000028412,2019-12-31,0.953091809004543,0.1676898722194129,,4
70,CMCSA,2019,0000902739,2019-12-31,0.9559332201092383,0.17905551663819397,,4
71,CME,2019,0001156375,2019-12-31,0.9573214882312003,0.18460858912604206,,4
72,CMG,2019,0001058090,2019-12-31,0.9549032077985177,0.1749354673953114,,4
73,CMI,2019,0000026172,2019-12-31,0.9540137575561313,0.1713776664257658,,4
74,CMS,2019,0000201533,2019-12-31,0.9426864103024942,0.12606827741121762,,4
75,CNC,2019,0001071739,2019-12-31,0.9467258221381083,0.1422259247536739,,4
76,CNDT,2019,0001677703,2019-12-31,0.9521208403199188,0.16380599748091607,,4
77,CNP,2019,0000048732,2019-12-31,0.9409729891620386,0.11921459284939528,,4
78,COF,2019,0000927628,2019-12-31,0.9570905656429205,0.1836848987729227,,3
79,COG,2019,0000858470,2019-12-31,0.9333580186001204,0.08875471060172213,,4
80,COP,2019,0001163165,2019-12-31,0.9368290861844514,0.10263898093904622,,4
81,CSX,2019,0000277948,2019-12-31,0.9351201563873884,0.09580326175079446,,4
82,CTL,2019,0000018926,2019-12-31,0.9532417960009455,0.1682898202050227,,4
83,CTSH,2019,0001058290,2019-12-31,0.9576529171339422,0.18593430473700945,,4
84,CTXS,2019,0000877890,2019-12-31,0.9578464581183205,0.18670846867452262,,4
85,CVS,2019,0000064803,2019-12-31,0.9481344025858014,0.1478602465444463,,4
86,CVX,2019,0000093410,2019-12-31,0.9463884599357573,0.14087647594426977,,5
87,CXO,2019,0001358071,2019-12-31,0.9307897594735399,0.07848167409540041,,5
88,D,2019,0000103682,2019-12-31,0.9467595672199791,0.14236090508115717,,5
89,DAL,2019,0000027904,2019-12-31,0.9390702731357307,0.11160372874416336,,4
90,DD,2019,0000030554,2019-12-31,0.9492303232110865,0.1522439290455866,,4
91,DFS,2019,0001393612,2019-12-31,0.9534730334254287,0.16921476990295536,,4
92,DGX,2019,0001022079,2019-12-31,0.9426609885153175,0.1259665902625109,,4
93,DHR,2019,0000313616,2019-12-31,0.9503851932373832,0.15686340915077368,,4
94,DISCK,2019,0001437107,2019-12-31,0.9566747705971784,0.18202171858995442,,4
95,DLPH,2019,0001521332,2019-12-31,0.9554172667548304,0.17699170322056235,,4
96,DLR,2019,0001297996,2019-12-31,0.9549517007372371,0.1751294391501892,,4
