,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
0,AAL,2015,0000006201,2015-12-28,0.897889107600148,0.22564394568096535,0.4294356780485695,3
1,AIG,2015,0000005272,2015-12-31,0.8130577635188986,-0.11368143064403213,0.42674186157899197,1
2,APH,2015,0000820313,2015-12-31,0.8224810630419639,-0.0759882325517709,0.3821430125902534,1
3,BBT,2015,0000092230,2015-12-31,0.7854101781663704,-0.22427177205414495,0.21917386998959776,1
4,BK,2015,0001390777,2015-12-31,0.892145037238322,0.20266766423366134,0.29886185499151274,2
5,C,2015,0000831001,2015-12-16,0.7784870280879332,-0.2519643723678935,0.03068456773185435,1
6,EXC,2015,0001109357,2015-12-31,0.822529571323747,-0.07579419942463828,0.17460314221706286,1
7,GE,2015,0000040545,2015-12-31,0.9422049097309338,0.40290715420410894,0.43734121847349616,2
8,HSIC,2015,0001000228,2015-12-26,0.9098244524874868,0.27338532523032066,0.27753084782067505,2
9,IBM,2015,0000051143,2015-12-28,0.7599971991708385,-0.32592368803627236,0.3162595971869768,1
10,LEG,2015,0000058492,2015-12-31,0.884028230282294,0.17020043640954974,0.27339456586753386,2
11,LMT,2015,0000936468,2015-11-06,0.9139962722832066,0.2900726044131998,0.08944985232234481,2
12,LNC,2015,0000059558,2015-09-30,0.8535349215424365,0.048227201450119495,0.1946310287528723,1
13,MPC,2015,0001510295,2015-12-04,0.8152877409080834,-0.10476152108729275,0.22508706374446774,2
14,MSI,2015,0000068505,2015-12-31,0.8221834754847974,-0.07717858278043677,0.39610817745295623,1
15,MTB,2015,0000036270,2015-11-01,0.9052947462519768,0.2552665002882808,-0.18366197266992534,2
16,NLSN,2015,0001492633,2015-12-30,0.8097501411749846,-0.1269119200196882,0.19037502345588075,1
17,NTAP,2015,0001002047,2015-12-30,0.9505317374595079,0.4362144651184052,0.426577467415755,2
18,PEG,2015,0000788784,2015-12-15,0.7924116446353152,-0.1962659061783656,0.4767423006352294,1
19,RRC,2015,0000315852,2015-12-30,0.8520162788423468,0.0421526306497606,0.04904021924644564,2
20,SJM,2015,0000091419,2015-12-31,0.8369963577880656,-0.017927053567364126,0.08885365209808782,1
21,UAL,2015,0000100517,2015-12-31,0.8563546423952985,0.05950608486156739,0.4369586724983936,1
22,UTX,2015,0000101829,2015-12-31,0.8540251193516725,0.05018799268706342,0.5197139036140053,1
23,XOM,2015,0000034088,2015-12-09,0.7817971330847516,-0.23872395238061994,0.2715982022733785,1
24,ZBH,2015,0001136869,2015-12-31,0.9001177787932546,0.23455863045339198,0.3754378021526086,1
25,A,2016,0001090872,2016-02-16,0.9090071105819009,0.270115957607977,0.22723297611054338,2
26,AAL,2016,0000004515,2016-02-09,0.948837040692049,0.4294356780485695,0.41334619654989835,6
27,AAP,2016,0001158449,2016-02-11,0.9122332988198939,0.28302071055994915,0.48768161397887644,3
28,AAPL,2016,0000320193,2016-02-26,0.87842336948258,0.1477809932106937,0.23583658992816048,4
29,ABBV,2016,0001551152,2016-12-31,0.8882683817236048,0.18716104217479268,0.21316810450710788,4
30,ABC,2016,0001140859,2016-02-04,0.8816877745710638,0.16083861356462892,0.20484354370319968,3
31,ABT,2016,0000001800,2016-01-30,0.942106666476619,0.40251418118684956,0.3715736727526706,4
32,ACN,2016,0001467373,2016-02-03,0.8111493756217967,-0.12131498223243975,-0.08094469805758964,1
33,ADBE,2016,0000796343,2016-02-23,0.9194184635658369,0.31176136954372113,0.26741685805645243,2
34,ADI,2016,0000006281,2016-02-15,0.9264629598461372,0.33993935466492253,0.4061025436510888,4
35,ADM,2016,0000007084,2016-02-02,0.8100380629421225,-0.12576023295113625,0.18577132308861843,2
36,ADP,2016,0000008670,2016-02-03,0.8088346310228571,-0.13057396062819793,-0.23926204802851325,3
37,ADS,2016,0001101215,2016-02-24,0.9589243999423155,0.4697851150496355,0.4498291629775286,19
38,ADSK,2016,0000769397,2016-02-25,0.9502974048543663,0.4352771346978388,0.3094447472223103,4
39,AEE,2016,0001002910,2016-02-19,0.9325976483623244,0.3644781087296711,0.32539744390539704,3
40,AEP,2016,0000004904,2016-03-01,0.9497327779347765,0.4330186270194796,0.3286258404188209,3
41,AES,2016,0000874761,2016-02-24,0.8835524184722313,0.1682971891692988,0.4372888708384104,2
42,AET,2016,0001122304,2016-02-01,0.9494832853223438,0.43202065656974886,0.4468503498306604,4
43,AFL,2016,0000004977,2016-02-25,0.8416591817983494,0.0007242424737712305,0.3541691213054796,3
44,AGN,2016,0001578845,2016-12-30,0.95965909717476,0.47272390397941333,0.2767726822860226,5
45,AIG,2016,0000005272,2016-02-26,0.9481635865746546,0.42674186157899197,0.35296470647644584,11
46,AIV,2016,0000922864,2016-02-29,0.9177393363498028,0.3050448606795846,0.31729702690078776,6
47,AIZ,2016,0001267238,2016-02-16,0.9400239401561208,0.3941832759048567,0.28207166214977386,4
48,AJG,2016,0000354190,2016-02-29,0.9060058566135151,0.25811094173443383,0.2363216259277796,6
49,AKAM,2016,0001086222,2016-02-09,0.9065517640430607,0.26029457145261636,0.18834287824158125,4
50,ALB,2016,0000915913,2016-02-17,0.8640504893309449,0.09028947260415299,0.21024233735427034,3
51,ALK,2016,0000766421,2016-12-14,0.9370804178126043,0.3824091865307908,0.3781571209613821,9
52,ALL,2016,0000899051,2016-02-12,0.9107005190391705,0.2768895914370555,0.4749545987810637,4
53,ALLE,2016,0001579241,2016-02-11,0.8023661889649504,-0.15644772885982494,-0.16354517893810572,3
